#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RCLK_TO_SELECT;�GRight-click to Select�!;�GClic droit pour s�lectionner�!;�GZur Auswahl rechtsklicken�!;;�GHaz clic derecho para seleccionar�!;;;;;;;;;x
vassal_sacrifice_decision;Sacrifice;Sacrifier;Opfert;;Sacrifica;;;;;;;;;x
vassal_sacrifice_decision_named;Sacrifice [Root.GetFirstName];Sacrifier [Root.GetFirstName];[Root.GetFirstName] opfern;;Sacrifica a [Root.GetFirstName];;;;;;;;;x
break_up_with_lover_named;Break up with [Root.GetFirstName];Rompre avec [Root.GetFirstName];Von [Root.GetFirstName] trennen;;Romper la relaci�n con [Root.GetFirstName];;;;;;;;;x
seduce_decision_named;Seduce [Root.GetFirstName];S�duire [Root.GetFirstName];[Root.GetFirstName] verf�hren;;Seducir [Root.GetFirstName];;;;;;;;;x
decision_spy_on_named;Spy On [Root.GetFirstName];Espionner [Root.GetFirstName];[Root.GetFirstName] ausspionieren;;Espiar a [Root.GetFirstName];;;;;;;;;x
decision_break_free_named;Free [Root.GetFirstName] from Captivity;Lib�rer [Root.GetFirstName] de sa captivit�;[Root.GetFirstName] aus der Gefangenschaft befreien;;Liberar a [Root.GetFirstName] de la cautividad;;;;;;;;;x
invite_to_party_named;Invite [Root.GetFirstName] to Carousing;Inviter [Root.GetFirstName] � faire ribote;Zum Zechen einladen;;Invitar a [Root.GetFirstName] a Juerga;;;;;;;;;x
duel_decision_named;Duel [Root.GetFirstName];Affronter [Root.GetFirstName] en duel;Zum Duell fordern;;Batir en duelo con [Root.GetFirstName];;;;;;;;;x
legitimize_bastard;Legitimize;L�gitimer;Legitimieren;;Legitimar;;;;;;;;;x
legitimize_bastard_named;Legitimize [Root.GetTitledFirstName];L�gitimer [Root.Get_le_TitledFirstName];[Root.GetTitledFirstName] legitimieren;;Legitimar a [Root.GetTitledFirstName];;;;;;;;;x
convince_to_straighten_up_named;Convince [Root.GetTitledFirstName] to Straighten up;Convaincre [Root.Get_le_TitledFirstName] de se reprendre en main;[Root.GetFirstName] �berzeugen, sich zu bessern;;Convencer a [Root.GetTitledFirstName] a enderezarse;;;;;;;;;x
